"State","Single Filer","","","Married Filing Jointly","","","Standard Deduction","","Personal Exemption","",""
"","Rates","","Brackets","Rates","","Brackets","Single","Couple","Single","Couple","Dependent"
"Alabama","2.00%",">","$0","2.00%",">","$0","$3,000","$8,500","$1,500","$3,000","$1,000"
"(a, b, c)","4.00%",">","$500","4.00%",">","$1,000","","","","",""
"","5.00%",">","$3,000","5.00%",">","$6,000","","","","",""
"Alaska","none","","","none","","","n.a.","n.a.","n.a.","n.a.","n.a."
"Arizona (e, f, u)","2.50%",">","$0","2.50%",">","$0","$14,600","$29,200","n.a.","n.a.","$100 credit"
"Arkansas","2.00%",">","$0","2.00%",">","$0","$2,340","$4,680","$29 credit","$58 credit","$29 credit"
"(g, h, bb, ll)","4.00%",">","$4,400","4.00%",">","$4,400","","","","",""
"","4.40%",">","$8,800","4.40%",">","$8,800","","","","",""
"California","1.00%",">","$0","1.00%",">","$0","$5,363","$10,726","$144 credit","$288 credit","$446 credit"
"(a, h, j, k, l, m, n, oo)","2.00%",">","$10,412","2.00%",">","$20,824","","","","",""
"","4.00%",">","$24,684","4.00%",">","$49,368","","","","",""
"","6.00%",">","$38,959","6.00%",">","$77,918","","","","",""
"","8.00%",">","$54,081","8.00%",">","$108,162","","","","",""
"","9.30%",">","$68,350","9.30%",">","$136,700","","","","",""
"","10.30%",">","$349,137","10.30%",">","$698,274","","","","",""
"","11.30%",">","$418,961","11.30%",">","$837,922","","","","",""
"","12.30%",">","$698,271","12.30%",">","$1,000,000","","","","",""
"","13.30%",">","$1,000,000","13.30%",">","$1,396,542","","","","",""
"Colorado (a, o)","4.40%",">","$0","4.40%",">","$0","$14,600","$29,200","n.a.","n.a.","n.a."
"Connecticut","2.00%",">","$0","2.00%",">","$0","n.a.","n.a.","$15,000","$24,000","$0"
"(i, p, q, r)","4.50%",">","$10,000","4.50%",">","$20,000","","","","",""
"","5.50%",">","$50,000","5.50%",">","$100,000","","","","",""
"","6.00%",">","$100,000","6.00%",">","$200,000","","","","",""
"","6.50%",">","$200,000","6.50%",">","$400,000","","","","",""
"","6.90%",">","$250,000","6.90%",">","$500,000","","","","",""
"","6.99%",">","$500,000","6.99%",">","$1,000,000","","","","",""
"Delaware","2.20%",">","$2,000","2.20%",">","$2,000","$3,250","$6,500","$110 credit","$220 credit","$110 credit"
"(a, h, m, s)","3.90%",">","$5,000","3.90%",">","$5,000","","","","",""
"","4.80%",">","$10,000","4.80%",">","$10,000","","","","",""
"","5.20%",">","$20,000","5.20%",">","$20,000","","","","",""
"","5.55%",">","$25,000","5.55%",">","$25,000","","","","",""
"","6.60%",">","$60,000","6.60%",">","$60,000","","","","",""
"Florida","none","","","none","","","n.a.","n.a.","n.a.","n.a.","n.a."
"Georgia","5.49%",">","$0","5.49%",">","$0","$12,000","$24,000","n.a.","n.a.","$3,000"
"Hawaii","1.40%",">","$0","1.40%",">","$0","$2,200","$4,400","$1,144","$2,288","$1,144"
"(m, t)","3.20%",">","$2,400","3.20%",">","$4,800","","","","",""
"","5.50%",">","$4,800","5.50%",">","$9,600","","","","",""
"","6.40%",">","$9,600","6.40%",">","$19,200","","","","",""
"","6.80%",">","$14,400","6.80%",">","$28,800","","","","",""
"","7.20%",">","$19,200","7.20%",">","$38,400","","","","",""
"","7.60%",">","$24,000","7.60%",">","$48,000","","","","",""
"","7.90%",">","$36,000","7.90%",">","$72,000","","","","",""
"","8.25%",">","$48,000","8.25%",">","$96,000","","","","",""
"","9.00%",">","$150,000","9.00%",">","$300,000","","","","",""
"","10.00%",">","$175,000","10.00%",">","$350,000","","","","",""
"","11.00%",">","$200,000","11.00%",">","$400,000","","","","",""
